Name,State,Married ages 32-34 (pct),Married ages 23-25 (pct),HBCU?,Religious private?,Nonsectarian private?
Alabama Agricultural & Mechanical University,AL,0.2352426,0.0506166,Yes,No,No
Auburn University,AL,0.6909931,0.1712751,No,No,No
Auburn University Montgomery,AL,0.5116341,0.1974812,No,No,No
Faulkner University,AL,0.5339571,0.2454412,No,Yes,No
Huntingdon College,AL,0.6176949,0.2054899,No,Yes,No
Jacksonville State University,AL,0.5538985,0.1941183,No,No,No
Samford University,AL,0.768573,0.2575492,No,Yes,No
Spring Hill College,AL,0.6256407,0.1117964,No,Yes,No
Tuskegee University,AL,0.3114597,0.0502892,Yes,No,Yes
University Of Alabama,AL,0.6256666,0.145443,No,No,No
University Of Alabama At Birmingham,AL,0.4945526,0.1842655,No,No,No
University Of Alabama In Huntsville,AL,0.6123605,0.213912,No,No,No
University Of Montevallo,AL,0.6096312,0.2011622,No,No,No
University Of North Alabama,AL,0.6446565,0.2512487,No,No,No
University Of South Alabama,AL,0.5606765,0.2014751,No,No,No
University Of West Alabama,AL,0.5048901,0.1995489,No,No,No
Arkansas State University,AR,0.6049687,0.2819743,No,No,No
Arkansas Tech University,AR,0.6468657,0.3118117,No,No,No
Henderson State University,AR,0.618687,0.2548254,No,No,No
Southern Arkansas University,AR,0.5601666,0.2500361,No,No,No
University Of Arkansas,AR,0.6518544,0.1766578,No,No,No
University Of Arkansas At Pine Bluff,AR,0.1887668,0.0445694,Yes,No,No
University Of Central Arkansas,AR,0.6170565,0.2141795,No,No,No
Williams Baptist College,AR,0.695955,0.4259658,No,Yes,No
Azusa Pacific University,CA,0.7180943,0.2151246,No,Yes,No
Biola University,CA,0.7438161,0.2820836,No,Yes,No
California Baptist University,CA,0.7232519,0.3106319,No,Yes,No
California Lutheran University,CA,0.6701711,0.0994263,No,Yes,No
California Maritime Academy,CA,0.5880961,0.0751442,No,No,No
California Polytechnic State University,CA,0.6338139,0.067625,No,No,No
